군번,이름,1지망 특기번호,1지망 점수,2지망 특기번호,2지망 점수,3지망 특기번호,3지망 점수,색맹 여부,아토피 여부,16110,17110,18110,18111,18210,18310,25110,46110,46111,46112,46210,55110,55610,55910,67110,70110,80110,80210,81110
25-70011406,이예준,46111,203374.95,80210,867915.78,67110,601582.88,,,,,,,,,,,,,,,,,,,,,
25-70011407,장하준,18210,821365.48,67110,203107.46,80110,623045.66,,,,,,,,,,,,,,,,,,,,,
25-70011408,한민재,67110,1131.16,70110,663063.84,18310,1370.89,,1,223876.82,867146.99,661563.31,667617.47,663109.55,601552.04,1629.21,221408.11,861295.02,623956.19,823798.70,807745.24,807034.58,667484.51,623042.03,667272.60,867849.34,867873.30,201259.11
25-70011409,안우진,18310,667492.42,80210,667406.33,46110,667553.12,,,,,,,,,,,,,,,,,,,,,
25-70011410,박서준,18210,201933.53,46110,1449.54,17110,623408.63,,,,,,,,,,,,,,,,,,,,,
25-70011411,조서준,80210,1171.86,46110,621632.84,18210,223579.23,,,,,,,,,,,,,,,,,,,,,
25-70011412,전시우,18110,201354.16,80110,223899.15,17110,223706.06,,,,,,,,,,,,,,,,,,,,,
25-70011413,황지훈,25110,667497.90,46110,867313.43,18210,221781.53,,,,,,,,,,,,,,,,,,,,,
25-70011414,임도현,17110,203918.59,18110,801245.64,46110,801035.86,,,,,,,,,,,,,,,,,,,,,
25-70011415,권지훈,46210,203568.36,18111,221254.69,46110,203239.04,,,,,,,,,,,,,,,,,,,,,
25-70011416,신건우,67110,601333.46,18110,1597.13,70110,601700.95,,,,,,,,,,,,,,,,,,,,,
25-70011417,권연우,16110,663287.83,18310,861749.10,46111,821573.63,,,,,,,,,,,,,,,,,,,,,
25-70011418,정민재,46111,661170.14,18110,667223.37,18111,807616.26,,,,,,,,,,,,,,,,,,,,,
25-70011419,한서준,16110,801547.69,46111,663515.95,18110,807831.13,,,,,,,,,,,,,,,,,,,,,
25-70011420,전준우,80110,801200.89,18111,807536.54,46111,661769.38,,1,601641.94,667634.55,203512.66,601036.23,223479.45,201568.18,1703.11,661006.99,203013.00,801781.03,223184.69,867671.34,807156.72,203857.14,807634.63,601078.88,223178.21,1546.96,201347.11
25-70011421,안선우,17110,807830.21,46110,807066.89,70110,801857.16,,,,,,,,,,,,,,,,,,,,,
25-70011422,신연우,16110,203015.42,80210,867681.65,46111,663324.08,,,,,,,,,,,,,,,,,,,,,
25-70011423,조선우,67110,201013.22,18210,807127.32,18111,601519.92,,,,,,,,,,,,,,,,,,,,,
25-70011424,서건우,17110,221232.24,67110,667958.90,18110,223579.01,1,,1033.38,601868.61,821807.99,663377.75,1713.79,223288.11,801095.78,801578.65,821610.72,801933.35,667579.22,1221.04,861193.51,1646.69,663172.89,801339.03,1106.40,1112.49,867671.20
25-70011425,안연우,46210,601079.22,46110,807984.51,67110,823360.16,,,,,,,,,,,,,,,,,,,,,
25-70011426,전민재,25110,223062.84,80110,823377.52,18310,1881.08,,,,,,,,,,,,,,,,,,,,,
25-70011427,황시우,16110,623300.02,80210,663526.16,18310,801838.40,,,,,,,,,,,,,,,,,,,,,
25-70011428,오현준,67110,201165.83,46210,623322.49,46111,621899.61,,,,,,,,,,,,,,,,,,,,,
25-70011429,권시우,17110,801386.10,80210,601920.31,46111,201626.81,,,,,,,,,,,,,,,,,,,,,
25-70011430,신예준,25110,203760.87,17110,661722.12,18110,1685.55,,,,,,,,,,,,,,,,,,,,,
25-70011431,조도윤,17110,823350.38,70110,601840.72,80110,223057.63,,,,,,,,,,,,,,,,,,,,,
25-70011432,임현우,67110,601728.92,80110,623356.56,46110,621720.34,,1,621508.66,823516.21,807093.97,621925.80,203481.32,1684.52,201211.67,621992.69,1145.05,1327.68,867844.57,861727.49,861912.41,867303.33,1272.32,201589.76,821546.70,623876.79,1011.51
25-70011433,한준서,46210,667813.86,16110,663326.59,46111,203468.93,,,,,,,,,,,,,,,,,,,,,
25-70011434,송연우,80110,867941.99,17110,221241.64,46111,667916.29,,,,,,,,,,,,,,,,,,,,,
25-70011435,안지후,46210,807963.27,18110,1970.60,16110,801231.88,,,,,,,,,,,,,,,,,,,,,
25-70011436,박하준,67110,621646.18,46210,223314.33,46110,861880.70,1,,1366.04,221416.44,621821.24,823138.93,1517.25,201280.91,601815.57,201521.65,1131.60,667776.87,201719.14,667897.45,221442.86,667751.90,1450.41,663507.16,623840.40,201228.60,801530.17
25-70011437,홍지후,70110,621677.43,46210,861887.09,18210,823781.31,1,,221890.65,223931.41,667325.13,821561.37,821891.11,807750.99,663356.33,1393.18,201180.05,661567.62,201127.93,1848.27,223769.07,807397.71,621974.85,867604.85,801488.29,203384.46,663029.21
25-70011438,송우진,46111,663795.99,16110,601063.47,80110,221486.39,,,,,,,,,,,,,,,,,,,,,
25-70011439,송현우,46110,1494.16,25110,623664.71,46210,861799.39,,,,,,,,,,,,,,,,,,,,,
25-70011440,권서준,67110,801002.70,17110,807601.95,18111,601520.13,,,,,,,,,,,,,,,,,,,,,
25-70011441,장서준,46110,801329.57,18210,621624.18,18111,223457.18,,,,,,,,,,,,,,,,,,,,,
25-70011442,김서준,16110,663068.07,18210,821884.48,80110,821000.79,,,,,,,,,,,,,,,,,,,,,
25-70011443,안지호,18310,223684.56,46111,1201.40,18110,861636.57,,,,,,,,,,,,,,,,,,,,,
25-70011444,한도윤,16110,221333.63,80210,623594.28,46210,1906.23,,,,,,,,,,,,,,,,,,,,,
25-70011445,박주원,18310,201201.80,46110,801693.42,18110,807517.20,,,,,,,,,,,,,,,,,,,,,
25-70011446,임선우,16110,667009.71,18110,861148.86,80110,201658.68,,,,,,,,,,,,,,,,,,,,,
25-70011447,서서준,46110,823487.89,17110,601933.23,46111,821583.92,,1,221029.34,601750.66,801758.74,801548.18,621548.66,867623.24,221040.82,221640.96,1720.63,801295.43,801531.68,801940.89,801394.55,1646.30,867063.01,663082.14,807903.60,661266.96,807863.15
25-70011448,최선우,80210,623033.79,46111,203038.66,80110,1612.11,,,,,,,,,,,,,,,,,,,,,
25-70011449,전예준,46111,201060.42,67110,861014.65,18110,821686.41,,,,,,,,,,,,,,,,,,,,,
25-70011450,장민재,80210,621712.91,18310,801501.17,17110,661908.57,,,,,,,,,,,,,,,,,,,,,
25-70011451,윤주원,80210,821446.91,17110,221510.37,80110,807905.81,1,,1172.87,823117.55,861126.55,801912.58,667210.20,661993.01,601989.17,203325.02,203788.61,801784.52,1223.01,221464.51,623661.77,801255.95,1768.90,821197.81,621008.90,1222.12,201801.97
25-70011452,박지호,46111,801438.34,46210,201229.75,17110,667820.61,,,,,,,,,,,,,,,,,,,,,
25-70011453,장지호,80110,661489.88,70110,821228.62,25110,661479.48,,,,,,,,,,,,,,,,,,,,,
25-70011454,안주원,18111,203778.58,70110,661142.79,18310,801731.68,,1,203292.50,661466.18,1780.01,623774.32,1317.38,1023.55,1140.95,621284.95,667433.12,1192.42,203195.36,1698.11,807131.71,1696.29,801982.57,867175.18,223148.97,823473.26,203266.01
25-70011455,홍준우,80210,1884.22,17110,867045.12,18110,201507.75,,,,,,,,,,,,,,,,,,,,,
25-70011456,조지호,16110,1717.11,17110,861006.03,70110,801415.32,,,,,,,,,,,,,,,,,,,,,
25-70011457,장우진,18110,861212.48,18111,807807.72,46111,801121.85,,,,,,,,,,,,,,,,,,,,,
25-70011458,권우진,18210,821642.20,18111,667711.67,80210,1017.24,,,,,,,,,,,,,,,,,,,,,
25-70011459,오선우,16110,621420.63,18110,663652.85,67110,601810.33,,,,,,,,,,,,,,,,,,,,,
25-70011460,안도현,18310,201938.84,18210,201024.94,46111,201256.68,,,,,,,,,,,,,,,,,,,,,
25-70011461,장준서,80110,223455.12,18310,823305.09,46110,807108.25,1,,663594.05,801451.86,823555.68,663489.21,823080.97,201847.70,223779.17,1462.40,801303.65,203786.07,861281.59,823355.09,807784.92,623118.58,621171.64,223094.13,601644.82,201817.24,801937.12
25-70011462,장연우,70110,821458.97,46110,201721.58,17110,801708.68,,,,,,,,,,,,,,,,,,,,,
25-70011463,전도현,18210,201196.45,16110,201860.01,18310,807235.22,,,,,,,,,,,,,,,,,,,,,
25-70011464,정지호,46210,867051.49,70110,667090.53,80110,661989.46,,,,,,,,,,,,,,,,,,,,,
25-70011465,홍하준,16110,221162.32,17110,203438.75,18210,1462.28,,,,,,,,,,,,,,,,,,,,,
25-70011466,전시우,80210,1742.02,46210,203316.56,80110,621901.42,,,,,,,,,,,,,,,,,,,,,
25-70011467,윤선우,80210,203079.54,46111,801338.04,25110,623793.50,,,,,,,,,,,,,,,,,,,,,
25-70011468,정연우,17110,801690.66,46210,601907.96,46110,663756.89,,,,,,,,,,,,,,,,,,,,,
25-70011469,최우진,18110,667877.77,80110,801115.93,17110,601256.66,,,,,,,,,,,,,,,,,,,,,
25-70011470,서준서,46210,807770.44,25110,621940.22,18110,1049.47,,,,,,,,,,,,,,,,,,,,,
25-70011471,강예준,80110,1699.72,18111,601378.42,80210,601430.42,,,,,,,,,,,,,,,,,,,,,
25-70011472,홍도윤,80210,1250.07,18110,1726.84,70110,1622.03,,,,,,,,,,,,,,,,,,,,,
25-70011473,전지호,25110,801683.81,80210,861475.17,17110,1647.60,,,,,,,,,,,,,,,,,,,,,
25-70011474,최도윤,18310,661779.27,18110,661183.21,80110,1974.57,,,,,,,,,,,,,,,,,,,,,
25-70011475,오현우,16110,661067.21,25110,823291.42,18310,201014.43,,,,,,,,,,,,,,,,,,,,,
25-70011476,윤현우,46210,663146.37,16110,623186.74,67110,1397.99,,,,,,,,,,,,,,,,,,,,,
25-70011477,오민재,46110,1283.42,18210,601372.29,25110,861917.78,,,,,,,,,,,,,,,,,,,,,
25-70011478,전지후,18210,223313.09,46110,663924.13,46111,1391.29,1,,807848.89,807766.22,621680.46,201308.50,661541.49,821803.87,621315.52,201130.93,201457.81,661391.87,801440.58,823096.17,861518.53,1869.76,861031.42,203343.40,821553.24,1581.48,601168.76
25-70011479,박도현,16110,861770.28,25110,823802.47,18111,1815.32,,,,,,,,,,,,,,,,,,,,,
25-70011480,장주원,18111,623095.93,80110,663692.44,25110,821015.25,,,,,,,,,,,,,,,,,,,,,
25-70011481,임도윤,17110,867839.88,46110,623850.12,80110,823898.36,1,,867254.98,623462.02,201588.67,663271.08,1835.40,623675.54,221175.65,1412.07,201185.73,201339.75,201679.01,663985.85,621484.87,623563.46,663641.02,221617.87,221690.25,201705.23,223439.72
25-70011482,김현준,17110,1816.52,46210,601551.67,46111,623511.07,,,,,,,,,,,,,,,,,,,,,
25-70011483,전지호,18310,1568.17,67110,1700.82,17110,1583.83,,,,,,,,,,,,,,,,,,,,,
25-70011484,전현우,70110,1456.92,80110,861473.08,25110,203054.47,,,,,,,,,,,,,,,,,,,,,
25-70011485,서도윤,80110,1786.83,18111,801054.33,70110,807611.59,,,,,,,,,,,,,,,,,,,,,
25-70011486,오민준,25110,201831.99,46210,223323.44,18110,823692.85,,,,,,,,,,,,,,,,,,,,,
25-70011487,최지훈,18110,821174.24,70110,807745.21,18210,203964.87,,,,,,,,,,,,,,,,,,,,,
25-70011488,한지후,46110,801666.68,67110,201936.94,80210,667969.57,,,,,,,,,,,,,,,,,,,,,
25-70011489,장지호,46110,601276.60,16110,623042.29,67110,661324.06,,,,,,,,,,,,,,,,,,,,,
25-70011490,장현우,80110,801892.33,80210,663310.67,17110,823383.86,,,,,,,,,,,,,,,,,,,,,
25-70011491,한우진,16110,1942.55,18310,821760.91,18210,1346.79,,1,601244.93,667835.13,221407.23,601050.63,801905.87,601673.83,601985.56,667811.28,203035.97,661419.88,601942.68,201886.68,1594.41,821319.98,663858.85,663190.87,1157.76,667805.11,601841.65
25-70011492,장준서,80210,807407.05,17110,601404.46,25110,867088.97,,,,,,,,,,,,,,,,,,,,,
25-70011493,홍하준,18111,621218.99,16110,823087.94,46210,621926.06,,,,,,,,,,,,,,,,,,,,,
25-70011494,황도현,46210,801465.90,17110,823432.13,18210,861226.83,,,,,,,,,,,,,,,,,,,,,
25-70011495,장서준,46210,223392.79,70110,221549.79,46111,1662.24,,,,,,,,,,,,,,,,,,,,,
25-70011496,최현준,18110,801226.37,70110,663596.27,18310,221961.70,1,,661571.24,203575.04,201358.12,201023.22,1883.04,1648.56,1908.96,221556.26,667379.79,203611.73,823243.85,661012.60,221528.40,823250.96,223847.46,223548.38,201408.40,821793.07,801426.87
25-70011497,신연우,18210,201751.52,25110,1846.02,18310,601099.80,,,,,,,,,,,,,,,,,,,,,
25-70011498,이지후,80210,221519.19,18110,601818.54,67110,201921.63,,,,,,,,,,,,,,,,,,,,,
25-70011499,강건우,18210,221783.26,18111,663840.35,18110,203147.03,,,,,,,,,,,,,,,,,,,,,
25-70011500,한서준,18310,861750.32,16110,661489.12,80110,801469.61,,,,,,,,,,,,,,,,,,,,,
25-70011501,권도윤,17110,867676.53,46110,601893.27,80110,223048.16,,,,,,,,,,,,,,,,,,,,,
25-70011502,이도현,46111,807918.85,70110,221504.22,18210,223642.48,,,,,,,,,,,,,,,,,,,,,
25-70011503,김예준,18310,807080.48,46210,667568.43,18111,621155.84,,,,,,,,,,,,,,,,,,,,,
25-70011504,한현준,80110,867993.79,18110,867340.42,17110,861985.66,,,,,,,,,,,,,,,,,,,,,
25-70011505,오우진,17110,201117.71,18210,661050.64,25110,623388.97,,,,,,,,,,,,,,,,,,,,,
25-70011506,서민재,16110,623181.78,80210,621698.66,25110,623788.81,,,,,,,,,,,,,,,,,,,,,
25-70011507,한우진,18110,601597.94,18310,807532.18,18210,1661.84,1,,867614.01,823111.31,661711.19,221231.28,621997.90,201131.95,823320.97,867997.33,221225.25,601825.10,663058.24,823166.78,601836.38,203044.40,661196.78,203149.25,667850.20,861300.68,801268.30
25-70011508,한민재,67110,801712.75,18111,201955.51,18210,223612.95,,,,,,,,,,,,,,,,,,,,,
25-70011509,한건우,25110,801956.48,70110,601851.56,17110,601798.87,,,,,,,,,,,,,,,,,,,,,
25-70011510,조지호,67110,663111.48,16110,663632.71,80210,861727.18,1,,823057.20,807966.88,1916.56,621411.14,601811.66,623702.11,821554.81,201882.53,663275.49,601699.00,867833.67,223990.12,663548.84,223338.61,667296.51,663131.78,823556.07,801212.54,1331.08
25-70011511,윤하준,18210,663859.39,46111,801593.44,16110,201294.90,,,,,,,,,,,,,,,,,,,,,
25-70011512,송준서,46210,1187.73,46110,223391.15,18310,861827.25,1,,601074.25,661815.77,821995.17,823207.56,1198.12,1939.12,867679.27,201614.51,807196.50,807985.05,1808.72,867798.35,801030.87,667315.26,221171.85,807321.15,201502.80,601359.07,821141.07
25-70011513,이도윤,80110,201091.81,25110,861188.18,70110,623119.86,,,,,,,,,,,,,,,,,,,,,
25-70011514,임도현,25110,223227.49,67110,661167.57,46210,821503.17,,,,,,,,,,,,,,,,,,,,,
25-70011515,전주원,18310,201256.24,18110,203938.91,46111,201560.88,,,,,,,,,,,,,,,,,,,,,
25-70011516,권민재,46110,601136.82,18210,601491.40,18310,821830.55,,,,,,,,,,,,,,,,,,,,,
25-70011517,황우진,16110,601375.06,18210,807788.76,18310,1294.34,,,,,,,,,,,,,,,,,,,,,
25-70011518,임우진,70110,601268.62,80210,823671.54,18210,661764.43,,,,,,,,,,,,,,,,,,,,,
25-70011519,오지호,18110,661682.91,17110,667583.52,18310,1352.09,,,,,,,,,,,,,,,,,,,,,
25-70011520,윤선우,25110,221466.25,80210,801776.44,46110,807885.30,,,,,,,,,,,,,,,,,,,,,
25-70011521,장우진,67110,801770.96,46110,601502.35,18110,801146.33,,,,,,,,,,,,,,,,,,,,,
25-70011522,안준우,25110,1272.37,18110,667764.24,18111,201926.23,,,,,,,,,,,,,,,,,,,,,
25-70011523,황준우,80110,223875.90,46111,801449.96,80210,821253.28,,,,,,,,,,,,,,,,,,,,,
25-70011524,임건우,17110,1015.45,46210,661548.11,25110,201033.57,,,,,,,,,,,,,,,,,,,,,
25-70011525,정현우,18111,667432.99,80210,667880.99,16110,867788.52,,,,,,,,,,,,,,,,,,,,,
25-70011526,정주원,18110,223688.48,17110,861511.09,46110,823726.92,,1,661600.15,801310.71,861666.93,801709.39,667640.02,601064.58,223223.23,1191.18,1529.38,667437.26,1549.42,821322.33,203858.17,601564.95,1272.16,807732.59,1415.20,1455.10,667350.90
25-70011527,서지훈,70110,623184.69,16110,823918.31,18310,201801.50,,,,,,,,,,,,,,,,,,,,,
25-70011528,김현우,17110,823007.18,46111,601662.04,80210,823282.34,,,,,,,,,,,,,,,,,,,,,
25-70011529,조예준,46111,801614.26,18110,223836.78,80110,201887.32,,,,,,,,,,,,,,,,,,,,,
25-70011530,조주원,17110,201634.16,25110,661369.51,67110,1386.05,,,,,,,,,,,,,,,,,,,,,
25-70011531,신예준,18111,203335.38,17110,623879.90,46210,807263.41,,,,,,,,,,,,,,,,,,,,,
25-70011532,임연우,16110,661758.57,25110,201921.39,80110,667719.53,,,,,,,,,,,,,,,,,,,,,
25-70011533,윤준서,17110,203867.22,18310,663889.58,80210,667532.06,,,,,,,,,,,,,,,,,,,,,
25-70011534,장현준,80210,861496.11,18310,623178.69,17110,621039.06,,1,821433.03,663346.25,801424.41,1482.51,661110.70,1744.77,223313.24,201377.78,203804.77,601275.28,221677.58,601686.08,801516.61,203856.66,807449.02,601764.11,203725.38,601173.32,221891.34
25-70011535,송민준,67110,201518.43,25110,661226.96,46111,663397.83,,,,,,,,,,,,,,,,,,,,,
25-70011536,박민재,46111,601530.16,18310,201950.68,67110,801793.20,,,,,,,,,,,,,,,,,,,,,
25-70011537,한연우,80210,223430.07,25110,861416.79,16110,661700.37,,,,,,,,,,,,,,,,,,,,,
25-70011538,전하준,18310,821028.47,46210,621521.43,16110,807953.64,,,,,,,,,,,,,,,,,,,,,
25-70011539,송주원,67110,663862.65,16110,663352.00,80210,621021.70,,,,,,,,,,,,,,,,,,,,,
25-70011540,박현우,80110,801718.17,67110,861700.21,46110,621570.53,,,,,,,,,,,,,,,,,,,,,
25-70011541,강지훈,16110,663126.23,17110,221140.51,18310,801243.29,,,,,,,,,,,,,,,,,,,,,
25-70011542,조준서,80110,1429.51,46210,623375.96,46110,621048.73,,,,,,,,,,,,,,,,,,,,,
25-70011543,황민준,18210,861273.21,17110,661170.22,46210,1855.51,,,,,,,,,,,,,,,,,,,,,
25-70011544,신시우,16110,801198.53,18111,867295.76,18110,663834.54,,,,,,,,,,,,,,,,,,,,,
25-70011545,박주원,46111,601164.61,46110,201929.89,18210,601840.77,,,,,,,,,,,,,,,,,,,,,
25-70011546,윤연우,18310,601673.53,18110,801075.27,17110,663923.96,,,,,,,,,,,,,,,,,,,,,
25-70011547,윤현우,80110,1751.54,46111,221320.66,18210,861274.09,,,,,,,,,,,,,,,,,,,,,
25-70011548,안선우,18110,1985.23,17110,223504.23,46210,623035.19,,,,,,,,,,,,,,,,,,,,,
25-70011549,임준서,18310,801016.18,18110,201652.27,46110,663495.13,,,,,,,,,,,,,,,,,,,,,
25-70011550,이지호,70110,661298.97,18310,663650.71,18110,1048.38,,,,,,,,,,,,,,,,,,,,,
25-70011551,조예준,25110,663180.22,16110,201052.08,46111,1855.34,,,,,,,,,,,,,,,,,,,,,
25-70011552,장건우,46110,807714.06,80110,601089.86,80210,861678.89,,,,,,,,,,,,,,,,,,,,,
25-70011553,홍민준,70110,821878.35,16110,1878.06,80110,807780.06,,,,,,,,,,,,,,,,,,,,,
25-70011554,서서준,70110,821706.28,46210,201460.22,18110,621699.82,,,,,,,,,,,,,,,,,,,,,
25-70011555,홍준서,18110,667688.78,16110,201501.81,18310,801003.96,,,,,,,,,,,,,,,,,,,,,
25-70011556,김지훈,17110,867730.12,70110,221601.71,18210,601832.80,,,,,,,,,,,,,,,,,,,,,
25-70011557,윤준우,70110,201316.44,67110,621905.12,46110,867515.05,,,,,,,,,,,,,,,,,,,,,
25-70011558,서건우,67110,621686.90,17110,203285.10,18111,1375.82,,,,,,,,,,,,,,,,,,,,,
25-70011559,장선우,80210,867021.62,67110,203490.37,70110,201596.69,,,,,,,,,,,,,,,,,,,,,
25-70011560,이현우,46210,1068.41,70110,801274.16,18210,801904.67,,1,801869.53,201219.92,821206.28,1850.15,821567.91,667324.15,623335.03,621601.41,203802.10,1647.44,1983.52,601747.31,221749.44,867161.36,1252.66,801697.23,661785.48,661593.58,823667.24
25-70011561,최지훈,70110,1098.65,80210,1262.89,18210,203359.45,,,,,,,,,,,,,,,,,,,,,
25-70011562,강지훈,80210,621735.49,70110,601534.34,18111,867628.75,,,,,,,,,,,,,,,,,,,,,
25-70011563,김지호,17110,1488.02,46111,223748.42,46210,1668.60,,,,,,,,,,,,,,,,,,,,,
25-70011564,장준우,25110,807630.48,46110,667397.64,46210,601282.95,,,,,,,,,,,,,,,,,,,,,
25-70011565,임민재,18111,201002.68,25110,821817.54,80110,821035.91,,,,,,,,,,,,,,,,,,,,,
25-70011566,홍현준,70110,201242.75,18310,201064.07,80110,201412.17,,,,,,,,,,,,,,,,,,,,,
25-70011567,박하준,18310,601992.90,18111,203357.57,25110,621773.99,,,,,,,,,,,,,,,,,,,,,
25-70011568,송하준,80110,823278.72,80210,801789.99,46111,661310.71,,,,,,,,,,,,,,,,,,,,,
25-70011569,오준서,25110,667122.02,18210,1064.76,80210,601413.67,,,,,,,,,,,,,,,,,,,,,
