군번,이름,1지망 특기번호,1지망 점수,2지망 특기번호,2지망 점수,3지망 특기번호,3지망 점수,색맹 여부,아토피 여부,16110,17110,18110,18111,18210,18310,25110,46110,46111,46112,46210,55110,55610,55910,67110,70110,80110,80210,81110
25-70011396,서민준,18111,661532.60,16110,867220.18,55110,867894.48,,,,,,,,,,,,,,,,,,,,,
25-70011397,조지후,81110,661592.41,16110,661571.32,80110,661543.78,,,,,,,,,,,,,,,,,,,,,
25-70011398,김현우,80110,2658.45,67110,223157.34,46110,2708.36,1,1,2355.32,223302.48,2210.51,2898.24,2342.65,223986.73,2082.74,2829.31,223563.41,2155.98,2580.70,2303.62,2624.00,2174.24,223082.27,223984.23,2822.38,2281.92,2458.43
25-70011399,윤준우,70110,223698.99,55110,223881.64,46210,867871.84,,,,,,,,,,,,,,,,,,,,,
25-70011400,전민재,16110,223228.63,70110,223160.76,17110,661832.13,,,,,,,,,,,,,,,,,,,,,
25-70011401,윤도현,46110,661326.43,16110,867631.81,18210,223376.70,,,,,,,,,,,,,,,,,,,,,
25-70011402,박민준,16110,223761.03,70110,661432.24,17110,661341.87,,,,,,,,,,,,,,,,,,,,,
25-70011403,정준서,46210,661947.30,80210,867770.98,17110,867582.17,,,,,,,,,,,,,,,,,,,,,
25-70011404,조지후,18310,661990.15,46210,223968.88,16110,223130.09,,,,,,,,,,,,,,,,,,,,,
25-70011405,조지후,67110,223818.79,16110,223683.30,18310,661158.94,,,,,,,,,,,,,,,,,,,,,
25-70011406,윤현우,25110,867163.62,80210,223825.92,17110,223220.77,,,,,,,,,,,,,,,,,,,,,
25-70011407,이민준,17110,867963.24,46210,867943.62,18210,867638.53,,,,,,,,,,,,,,,,,,,,,
25-70011408,황시우,18310,867320.74,18210,661229.95,80210,867200.36,,,,,,,,,,,,,,,,,,,,,
25-70011409,박현우,80110,2473.21,55910,2159.25,46111,223868.62,1,,223347.06,2667.21,2664.20,2313.88,223126.36,223989.45,223940.42,2195.17,2470.87,223492.57,2687.04,2361.40,223799.72,2328.23,2416.15,2126.00,223889.88,223175.49,223736.24
25-70011410,윤도현,67110,223796.80,70110,867911.84,46210,661616.65,,,,,,,,,,,,,,,,,,,,,
25-70011411,김도현,70110,867607.31,46110,867200.52,17110,867160.83,,,,,,,,,,,,,,,,,,,,,
25-70011412,정건우,46210,223984.35,18210,867011.62,46111,661680.46,,,,,,,,,,,,,,,,,,,,,
25-70011413,신도현,18310,223694.98,80210,867952.65,67110,867039.62,,,,,,,,,,,,,,,,,,,,,
25-70011414,김시우,46110,223570.90,17110,223498.89,18111,2210.35,1,1,2489.62,223402.78,2552.66,223741.60,223141.22,2854.70,223278.64,2490.77,2825.71,2603.85,2969.93,2371.17,2374.55,223938.89,2087.02,223729.46,223795.93,2988.52,223220.50
25-70011415,신주원,18310,223517.71,67110,223882.53,80210,2033.20,1,,2520.07,2249.67,2751.68,223870.67,2053.51,2750.27,2265.37,223351.22,223293.95,2920.74,223944.67,2207.54,2785.81,223468.07,223772.52,223154.49,2760.42,223596.91,223935.17
25-70011416,장건우,17110,661693.19,18310,223200.15,46210,223670.39,,,,,,,,,,,,,,,,,,,,,
25-70011417,권준서,80210,867936.21,17110,223612.94,80110,867709.06,,,,,,,,,,,,,,,,,,,,,
25-70011418,서연우,80110,661612.26,55910,223080.11,70110,661817.30,,,,,,,,,,,,,,,,,,,,,
25-70011419,조민재,25110,661438.61,46210,661060.35,46110,223650.29,,,,,,,,,,,,,,,,,,,,,
25-70011420,홍예준,46110,661336.90,46112,867789.70,18210,223043.66,,,,,,,,,,,,,,,,,,,,,
25-70011421,정주원,18110,867996.33,16110,867493.28,46210,661403.26,,,,,,,,,,,,,,,,,,,,,
25-70011422,서건우,18111,867868.27,25110,223415.91,80110,867345.93,,,,,,,,,,,,,,,,,,,,,
25-70011423,한예준,18310,867514.00,80210,867438.62,16110,867395.52,,,,,,,,,,,,,,,,,,,,,
25-70011424,서주원,46111,223592.35,70110,661359.15,46210,223622.97,,,,,,,,,,,,,,,,,,,,,
25-70011425,전서준,46210,661179.68,67110,661971.40,17110,223413.03,,,,,,,,,,,,,,,,,,,,,
25-70011426,임지훈,17110,661514.82,25110,867662.62,46110,223163.52,,,,,,,,,,,,,,,,,,,,,
25-70011427,강현우,18310,867009.03,80210,867773.47,18111,867237.03,,,,,,,,,,,,,,,,,,,,,
25-70011428,오유준,18111,2519.77,80110,2669.39,25110,223430.89,,1,2397.87,2475.69,223030.46,223045.45,223510.58,2670.03,2509.85,223123.40,2034.91,223852.98,223839.18,223796.01,223449.04,223336.01,2724.60,2914.97,2281.05,2695.62,223801.45
25-70011429,한주원,18111,661167.62,46112,867605.54,55610,223663.80,,,,,,,,,,,,,,,,,,,,,
25-70011430,김민준,25110,223558.14,70110,223111.92,46111,661986.69,,,,,,,,,,,,,,,,,,,,,
25-70011431,홍지훈,17110,223122.11,18111,2180.01,16110,223316.16,1,1,2055.53,223125.49,223210.78,2677.39,223835.07,2387.32,2318.05,223826.86,2087.55,223234.43,223292.52,223961.49,223041.50,223265.50,223653.38,2317.55,2619.62,223884.86,2350.41
25-70011432,장도현,46110,867479.90,16110,223004.94,18110,661323.13,,,,,,,,,,,,,,,,,,,,,
25-70011433,조하준,80210,223488.85,46111,661139.65,18111,661307.93,,,,,,,,,,,,,,,,,,,,,
25-70011434,윤지후,55610,661188.35,18110,223672.60,46210,661868.14,,,,,,,,,,,,,,,,,,,,,
25-70011435,정민준,18110,661374.30,55110,661497.17,70110,867830.88,,,,,,,,,,,,,,,,,,,,,
25-70011436,전준서,80110,867689.53,67110,867600.61,17110,223658.89,,,,,,,,,,,,,,,,,,,,,
25-70011437,오건우,18310,661999.41,46210,661318.11,17110,867406.91,,,,,,,,,,,,,,,,,,,,,
25-70011438,장유준,80110,867109.11,67110,661404.14,46111,661925.67,,,,,,,,,,,,,,,,,,,,,
25-70011439,안민재,25110,223817.83,80110,2296.87,18210,223005.76,1,,223281.62,2455.62,2716.05,223346.89,2990.11,2278.13,2078.94,223849.53,2343.39,2541.00,2185.73,2452.81,2061.81,223239.99,2595.21,2341.43,223446.71,2189.39,2470.96
25-70011440,홍현우,18210,867448.69,18310,867545.69,67110,223227.27,,,,,,,,,,,,,,,,,,,,,
25-70011441,조서준,17110,661759.34,46111,867379.79,46210,661951.48,,,,,,,,,,,,,,,,,,,,,
25-70011442,박민재,70110,223398.82,80110,223246.07,17110,2607.91,1,,2904.77,2753.87,2177.19,2817.41,2941.53,223006.88,2864.96,2411.20,2856.13,2895.56,223295.07,2691.06,223440.06,2184.63,2603.80,2830.95,2173.34,223531.45,2682.15
25-70011443,정민재,67110,223521.23,70110,867195.78,55910,223896.71,,,,,,,,,,,,,,,,,,,,,
25-70011444,안민재,17110,223060.27,80210,223479.18,46210,223101.42,1,1,2299.94,2733.88,223164.41,223390.12,2902.41,2217.91,223658.66,2105.85,223566.61,223699.69,2399.52,223942.66,2826.55,223779.99,2576.86,223361.54,223980.57,223226.28,223594.85
25-70011445,이서준,46110,223929.61,18111,223580.93,18210,661610.33,,,,,,,,,,,,,,,,,,,,,
25-70011446,정민준,55910,223522.48,18210,223681.12,25110,2799.78,1,,223699.71,223658.72,2223.06,223172.52,223748.16,2938.32,2423.55,2259.67,223782.05,2347.52,223115.70,223692.01,223218.26,223613.97,223137.89,2359.21,223745.18,2477.35,223793.93
25-70011447,김연우,18110,867256.56,18210,661805.99,70110,867373.51,,,,,,,,,,,,,,,,,,,,,
25-70011448,이현우,46110,2819.19,17110,2593.54,16110,2212.04,1,1,2805.71,223557.31,223084.69,223358.33,223840.91,2182.67,2808.41,2761.88,223459.12,223204.25,2118.64,2076.57,223531.57,2937.11,2407.75,2654.16,2971.15,223928.10,2068.45
25-70011449,강예준,46112,867236.87,25110,867302.06,70110,223851.17,,,,,,,,,,,,,,,,,,,,,
25-70011450,한민재,46210,661451.77,70110,661152.98,67110,867736.87,,,,,,,,,,,,,,,,,,,,,
25-70011451,강시우,80110,867641.97,18111,223546.70,17110,661256.88,,,,,,,,,,,,,,,,,,,,,
25-70011452,홍서준,46210,223597.05,16110,661404.32,18110,661445.79,,,,,,,,,,,,,,,,,,,,,
25-70011453,강준우,67110,2104.11,16110,2337.23,18310,2274.16,1,1,2239.14,223612.80,223044.04,223076.80,223231.48,223403.21,2046.79,2611.83,223899.26,2105.87,2750.03,2675.82,2278.10,223395.26,2556.33,2827.30,2156.28,2168.20,223710.11
25-70011454,황서진,17110,2366.96,80110,2355.00,18111,2442.41,1,1,223231.38,2968.67,223958.12,223836.50,223934.30,223379.62,223629.82,223091.37,2531.29,223780.96,223731.50,223893.59,223832.93,2943.17,223431.30,2768.13,2251.17,2249.50,2514.10
25-70011455,김지후,70110,867271.15,46210,661680.13,17110,867456.86,,,,,,,,,,,,,,,,,,,,,
25-70011456,강서진,18110,661557.78,16110,661446.35,18310,661562.30,,,,,,,,,,,,,,,,,,,,,
25-70011457,박유준,80210,867170.48,18110,661096.68,55110,867821.81,,,,,,,,,,,,,,,,,,,,,
25-70011458,최연우,16110,223927.18,18210,867119.83,80210,223152.42,,,,,,,,,,,,,,,,,,,,,
25-70011459,박연우,81110,223671.56,80210,2623.59,46110,2787.90,1,,223901.58,2325.21,223559.41,2006.38,223696.70,223395.16,223210.89,2671.09,2440.57,223400.21,2619.34,223990.33,223997.62,2659.51,223430.98,223938.53,223065.69,223222.68,223496.90
25-70011460,홍주원,80110,661063.11,46111,867227.36,46110,867360.14,,,,,,,,,,,,,,,,,,,,,
25-70011461,홍지후,17110,223825.29,80210,2447.20,46111,2873.34,,1,223417.19,2130.50,2418.14,223797.21,2084.13,2340.54,223016.59,2159.62,2163.02,223234.99,223834.95,223304.60,223231.48,2277.72,223419.63,2213.70,2573.95,2857.96,223583.25
25-70011462,김지호,18110,2851.42,67110,2501.15,46111,223116.37,1,1,2781.62,223306.43,2697.72,2397.68,223006.26,2275.24,223566.07,2904.24,223513.18,223050.57,2410.50,223805.65,223317.55,2817.31,223089.92,2450.06,223626.46,223083.52,2332.00
25-70011463,조현준,70110,661721.42,18310,223790.03,80110,661080.92,,,,,,,,,,,,,,,,,,,,,
25-70011464,윤민준,18310,661957.32,18110,661640.97,55110,867575.16,,,,,,,,,,,,,,,,,,,,,
25-70011465,한현준,46110,867606.25,18210,661829.33,46111,223952.80,,,,,,,,,,,,,,,,,,,,,
25-70011466,임도현,70110,867025.81,46210,867232.55,17110,867549.53,,,,,,,,,,,,,,,,,,,,,
25-70011467,조서진,80210,661876.11,25110,867105.66,18210,661000.33,,,,,,,,,,,,,,,,,,,,,
25-70011468,황유준,16110,223061.35,46111,223191.78,18310,867058.16,,,,,,,,,,,,,,,,,,,,,
25-70011469,안서준,81110,867430.34,16110,867142.25,55110,867782.70,,,,,,,,,,,,,,,,,,,,,
25-70011470,김서진,18111,867509.42,18110,223228.89,55110,867615.22,,,,,,,,,,,,,,,,,,,,,
25-70011471,오시우,18210,223724.32,46210,223886.60,46110,2654.08,1,,223051.29,2759.09,223334.40,2693.81,2161.37,2208.59,223760.16,2547.41,223268.17,2407.72,2679.70,223827.36,2391.91,223802.85,223641.50,223344.82,2895.69,2122.11,223411.30
25-70011472,정지후,18310,867769.30,46110,661248.58,18110,661481.34,,,,,,,,,,,,,,,,,,,,,
25-70011473,장도현,16110,661189.69,18111,867215.20,67110,867834.30,,,,,,,,,,,,,,,,,,,,,
25-70011474,전서진,46210,2487.85,18110,223265.85,16110,223454.38,1,1,2875.12,223826.06,223545.58,2396.99,2656.39,223360.47,2034.94,2081.23,2444.53,223988.42,223169.06,223659.42,223507.08,223289.44,223768.01,223411.19,2618.77,2564.23,2644.86
25-70011475,황도현,70110,661324.68,17110,661476.02,46110,867614.08,,,,,,,,,,,,,,,,,,,,,
25-70011476,홍민준,80110,867955.33,18310,867658.69,80210,867688.13,,,,,,,,,,,,,,,,,,,,,
25-70011477,홍준우,25110,2253.06,18111,2461.48,70110,223495.45,,1,223934.43,223278.94,223556.19,2603.19,223818.38,223470.95,223991.96,223652.09,223765.36,2602.47,2102.84,2287.83,2673.84,223135.08,223676.48,223943.93,223682.53,2001.35,2275.92
25-70011478,안지호,18310,867066.65,25110,867150.17,18111,867443.27,,,,,,,,,,,,,,,,,,,,,
25-70011479,최하준,16110,223071.26,67110,867956.50,46210,867387.60,,,,,,,,,,,,,,,,,,,,,
25-70011480,윤유준,25110,223661.37,81110,223174.11,80210,867549.62,,,,,,,,,,,,,,,,,,,,,
25-70011481,박서진,70110,223082.17,17110,2898.90,25110,2769.22,,1,223018.39,2692.35,2323.82,2747.08,2251.08,2130.97,2122.01,2045.00,223996.91,2478.53,2411.37,223465.34,223622.73,223258.59,2482.71,2426.40,2724.25,2295.93,223805.53
25-70011482,박현준,46210,867255.41,18310,661069.25,18111,867530.30,,,,,,,,,,,,,,,,,,,,,
25-70011483,신현준,16110,223979.97,80210,661486.02,70110,223520.77,,,,,,,,,,,,,,,,,,,,,
25-70011484,이도현,46112,867928.08,18110,223095.01,16110,223550.09,,,,,,,,,,,,,,,,,,,,,
25-70011485,황지후,18310,867675.98,18110,223886.92,18210,867285.91,,,,,,,,,,,,,,,,,,,,,
25-70011486,최민준,70110,661636.07,80110,661460.54,80210,661728.49,,,,,,,,,,,,,,,,,,,,,
25-70011487,최민준,67110,661753.19,46210,867937.39,18110,867727.95,,,,,,,,,,,,,,,,,,,,,
25-70011488,신서진,17110,223505.85,46210,867413.42,80210,867590.35,,,,,,,,,,,,,,,,,,,,,
25-70011489,홍지호,46110,223093.76,18210,2636.29,46111,2433.80,,1,2050.42,2592.02,2563.92,2362.75,2089.88,2127.49,2917.27,2150.69,2714.72,2726.84,223697.83,2605.48,2676.36,2614.49,2295.82,2756.33,2217.89,2325.82,223593.46
25-70011490,조도현,18110,867881.45,46111,223401.49,70110,661657.56,,,,,,,,,,,,,,,,,,,,,
25-70011491,안민준,18210,223188.02,67110,867375.26,70110,867554.23,,,,,,,,,,,,,,,,,,,,,
25-70011492,황현우,16110,2749.55,67110,223367.94,55910,223756.26,1,1,223042.47,2323.53,223837.26,223342.73,2813.43,223831.52,223498.97,223103.43,2644.90,2779.82,223891.20,223712.14,223554.36,2012.90,223815.28,223957.63,223898.79,223085.06,223384.04
25-70011493,전우진,70110,661368.31,25110,867643.37,46110,661886.20,,,,,,,,,,,,,,,,,,,,,
25-70011494,강하준,46111,223003.22,18310,661166.89,25110,867387.67,,,,,,,,,,,,,,,,,,,,,
25-70011495,서연우,18310,223064.85,80110,661561.48,46110,661486.60,,,,,,,,,,,,,,,,,,,,,
25-70011496,윤서준,46111,223077.06,16110,2695.42,18310,2784.90,1,1,2607.14,2225.73,2094.97,2138.02,2176.90,223976.79,223531.87,2065.81,2582.71,223320.03,223305.74,223489.04,2682.19,223694.65,223632.40,223666.62,2693.42,223256.74,223872.86
25-70011497,김건우,55610,2373.46,70110,2328.19,46110,223235.86,,1,2994.68,223619.17,223673.70,223284.54,2492.05,223849.96,223226.03,2963.48,2282.26,223585.56,2771.51,2057.03,223975.47,223544.34,2048.09,2820.07,2523.21,223689.31,2598.60
25-70011498,김시우,18310,223998.35,16110,2299.44,70110,223421.25,1,1,223613.64,223977.03,2583.13,2893.64,223640.97,223996.57,2701.74,2337.30,223911.34,2732.39,2056.88,223833.20,2331.35,2628.12,2756.25,2307.24,2934.73,223790.01,2584.54
25-70011499,황연우,46210,661991.13,67110,223739.99,17110,661587.77,,,,,,,,,,,,,,,,,,,,,
25-70011500,최도현,18110,867700.25,18310,661831.70,18210,867697.67,,,,,,,,,,,,,,,,,,,,,
25-70011501,안민재,80210,223429.66,67110,223376.91,16110,867480.91,,,,,,,,,,,,,,,,,,,,,
25-70011502,오우진,25110,661080.60,80210,223903.91,55610,223436.85,,,,,,,,,,,,,,,,,,,,,
25-70011503,강도현,67110,867751.38,18110,867956.61,46111,661282.75,,,,,,,,,,,,,,,,,,,,,
25-70011504,장시우,16110,661249.55,18210,661428.89,18310,867776.71,,,,,,,,,,,,,,,,,,,,,
25-70011505,안우진,16110,2561.99,46110,223532.42,17110,223771.86,1,,223345.62,223062.04,223076.72,2161.92,2499.30,223451.74,2941.05,223115.15,2985.81,2387.27,223616.43,2648.23,2455.38,223940.50,2135.36,223151.43,2262.47,2581.74,2868.17
25-70011506,박민준,17110,223963.39,18111,223882.14,67110,867052.26,,,,,,,,,,,,,,,,,,,,,
25-70011507,홍민준,25110,661979.55,18111,867654.17,67110,661191.19,,,,,,,,,,,,,,,,,,,,,
25-70011508,박현준,18210,867114.10,80210,661720.01,80110,223250.97,,,,,,,,,,,,,,,,,,,,,
25-70011509,임도현,70110,867227.41,46111,661542.55,46110,223707.84,,,,,,,,,,,,,,,,,,,,,
25-70011510,윤우진,46111,867428.63,17110,867945.70,25110,867669.02,,,,,,,,,,,,,,,,,,,,,
25-70011511,송건우,25110,223512.50,46210,223459.24,46110,223786.28,,,,,,,,,,,,,,,,,,,,,
25-70011512,이준서,18110,661754.11,18111,223204.88,25110,867659.63,,,,,,,,,,,,,,,,,,,,,
25-70011513,이민재,18110,2984.99,18111,2557.98,80210,2065.20,1,1,223126.82,223675.62,2734.37,223698.20,2552.37,2363.65,223576.98,223254.26,2540.28,223678.39,2908.02,2172.09,223143.47,223869.94,223595.68,223523.66,2755.13,223502.49,2080.19
25-70011514,윤민준,25110,2798.34,80110,223656.78,46110,223397.38,,1,223791.41,2828.65,2306.97,223940.88,223323.10,2970.94,223394.14,2040.29,2469.52,2580.65,223010.49,2481.28,223785.93,2022.07,223873.87,2814.39,223566.89,223439.86,2024.11
25-70011515,장준우,17110,2523.33,25110,2356.67,18110,223577.59,1,1,2054.57,223189.28,2383.22,223905.54,2048.36,2441.15,223588.00,223503.55,2554.69,2935.38,2784.41,223014.57,223957.95,2164.63,2220.49,223478.34,2184.84,2824.85,223763.69
25-70011516,황주원,46210,661533.03,70110,661447.60,18310,661793.26,,,,,,,,,,,,,,,,,,,,,
25-70011517,임도현,18210,661140.71,80110,867033.38,18111,867732.64,,,,,,,,,,,,,,,,,,,,,
25-70011518,송지훈,70110,223882.42,18210,223505.21,80210,867417.76,,,,,,,,,,,,,,,,,,,,,
25-70011519,조예준,80210,661979.78,46210,223162.23,18110,223686.86,,,,,,,,,,,,,,,,,,,,,
25-70011520,서유준,17110,661079.41,16110,867973.46,70110,867296.49,,,,,,,,,,,,,,,,,,,,,
25-70011521,김지호,80110,867471.17,17110,223651.67,67110,867357.80,,,,,,,,,,,,,,,,,,,,,
25-70011522,신서진,46110,2244.34,70110,2825.98,18210,2719.08,,1,2837.24,223666.52,223625.33,223163.37,223742.29,223386.71,2385.10,2511.71,223883.56,2839.15,2474.43,223062.04,223553.29,2566.02,2201.84,2959.79,223917.54,223044.07,223902.76
25-70011523,신현우,25110,661748.83,80110,867435.51,67110,661738.07,,,,,,,,,,,,,,,,,,,,,
25-70011524,전건우,70110,223676.18,18111,2314.92,16110,2069.64,1,1,223645.57,223330.39,2842.17,2451.57,2169.89,223796.48,2518.56,223166.07,223989.51,223728.79,223142.56,223091.14,2076.76,2169.87,2641.82,223765.97,223415.44,2579.62,2177.08
25-70011525,이서준,18110,223279.28,80110,223340.38,18111,661512.65,,,,,,,,,,,,,,,,,,,,,
25-70011526,전민재,18210,867408.31,18111,661903.61,16110,867766.06,,,,,,,,,,,,,,,,,,,,,
25-70011527,홍준서,70110,867874.23,46210,223560.44,18111,223389.76,,,,,,,,,,,,,,,,,,,,,
25-70011528,강건우,18310,223976.80,18111,2479.07,17110,223042.02,1,1,2041.43,2599.36,2963.16,223393.15,223169.50,2179.03,223207.78,2546.93,2331.99,2072.73,2627.75,223782.43,223324.92,2874.31,2730.24,2399.33,223739.68,2180.89,2194.77
25-70011529,한시우,67110,2707.69,80110,2910.77,18210,2699.32,1,,2730.87,2731.56,223832.61,223067.97,2059.62,2890.14,223415.82,2675.76,2519.61,2059.18,2675.46,2994.08,2158.74,223571.79,2907.04,223409.09,2355.44,2730.88,223418.39
25-70011530,김지호,70110,867304.75,80210,223532.68,46210,223872.75,,,,,,,,,,,,,,,,,,,,,
25-70011531,오현우,17110,867241.89,55610,867468.77,46110,867824.53,,,,,,,,,,,,,,,,,,,,,
25-70011532,정주원,17110,867048.14,18111,661667.80,67110,661340.41,,,,,,,,,,,,,,,,,,,,,
25-70011533,최하준,80210,661794.58,46210,661429.18,46110,223995.44,,,,,,,,,,,,,,,,,,,,,
25-70011534,서유준,80110,867598.98,46110,867737.57,16110,867909.63,,,,,,,,,,,,,,,,,,,,,
25-70011535,권도현,46210,223025.14,70110,223430.43,80110,2910.68,,1,2938.66,2575.59,223655.90,223553.47,223224.60,2742.27,2254.54,223780.21,2699.34,223694.95,223412.40,223735.03,2130.50,223133.18,223911.96,2599.30,223182.75,2006.46,2908.02
25-70011536,윤유준,25110,867170.58,18110,867631.31,18310,867702.63,,,,,,,,,,,,,,,,,,,,,
25-70011537,황지훈,18111,661786.75,46110,223652.22,17110,661271.57,,,,,,,,,,,,,,,,,,,,,
25-70011538,송준서,25110,2070.93,80210,223002.92,18111,223472.49,1,,223734.61,223318.69,2941.47,223573.85,223091.42,2714.41,2407.37,223253.61,223196.29,223494.52,2577.12,223316.08,223810.16,223611.65,2913.04,223327.42,223268.80,2790.69,2306.42
25-70011539,전민재,16110,223450.47,18110,223482.04,18210,2469.74,1,,223594.05,223426.50,2831.54,223087.79,2772.67,223213.99,2014.61,223811.87,223387.45,2668.88,223293.53,223020.14,223557.40,223458.52,2807.72,223679.07,223018.95,223720.16,223132.93
25-70011540,전시우,25110,867007.66,46111,661833.32,46110,867338.86,,,,,,,,,,,,,,,,,,,,,
25-70011541,장현우,70110,223044.39,46111,867397.02,46110,867284.56,,,,,,,,,,,,,,,,,,,,,
25-70011542,김민준,70110,223874.22,46110,867675.42,80110,661992.82,,,,,,,,,,,,,,,,,,,,,
25-70011543,권서준,17110,223411.02,18210,867714.03,18310,867309.37,,,,,,,,,,,,,,,,,,,,,
25-70011544,황지호,70110,223002.10,80210,661257.61,16110,223040.56,,,,,,,,,,,,,,,,,,,,,
25-70011545,서민준,80110,867456.24,18111,661092.28,46210,223418.95,,,,,,,,,,,,,,,,,,,,,
25-70011546,황주원,67110,223412.68,17110,223678.67,18310,2888.04,1,,223049.22,2057.12,2256.19,223903.22,2859.11,2416.26,223239.07,2040.29,223312.60,2931.70,223976.56,223083.72,223303.39,223886.29,223691.66,2328.56,223130.72,2965.21,2575.06
25-70011547,정도현,46111,867612.57,46110,223723.97,18110,223740.98,,,,,,,,,,,,,,,,,,,,,
25-70011548,오서진,46110,661011.71,70110,661532.49,81110,223486.00,,,,,,,,,,,,,,,,,,,,,
